org;dest;sku;volume
SUP_7_in;SUP_7_out;22;2000,000000
SUP_7_in;SUP_7_out;23;2000,000000
SUP_7_in;SUP_7_out;24;2000,000000
SUP_7_in;SUP_7_out;25;2000,000000
SUP_7_in;SUP_7_out;26;2000,000000
SUP_7_in;SUP_7_out;27;2000,000000
SUP_7_in;SUP_7_out;28;2000,000000
SUP_7_in;SUP_7_out;29;2000,000000
SUP_7_in;SUP_7_out;30;2000,000000
SUP_7_in;SUP_7_out;31;2000,000000
SUP_7_in;SUP_7_out;32;2000,000000
SUP_7_in;SUP_7_out;33;2000,000000
SUP_7_in;SUP_7_out;34;2000,000000
SUP_7_in;SUP_7_out;35;2000,000000
SUP_7_in;SUP_7_out;36;2000,000000
SUP_7_in;SUP_7_out;37;2000,000000
SUP_7_in;SUP_7_out;38;2000,000000
SUP_7_in;SUP_7_out;39;2000,000000
SUP_7_in;SUP_7_out;40;2000,000000
SUP_7_in;SUP_7_out;41;2000,000000
SUP_7_in;SUP_7_out;42;2000,000000
SUP_7_in;SUP_7_out;43;2000,000000
SUP_7_in;SUP_7_out;44;2000,000000
SUP_7_in;SUP_7_out;45;2000,000000
SUP_7_in;SUP_7_out;46;2000,000000
SUP_7_in;SUP_7_out;47;2000,000000
SUP_7_in;SUP_7_out;48;2000,000000
SUP_7_in;SUP_7_out;49;2000,000000
SUP_8_in;SUP_8_out;0;2000,000000
SUP_8_in;SUP_8_out;1;2000,000000
SUP_8_in;SUP_8_out;2;2000,000000
SUP_8_in;SUP_8_out;3;2000,000000
SUP_8_in;SUP_8_out;4;2000,000000
SUP_8_in;SUP_8_out;5;2000,000000
SUP_8_in;SUP_8_out;6;2000,000000
SUP_8_in;SUP_8_out;7;2000,000000
SUP_8_in;SUP_8_out;8;2000,000000
SUP_8_in;SUP_8_out;9;2000,000000
SUP_8_in;SUP_8_out;10;2000,000000
SUP_8_in;SUP_8_out;11;2000,000000
SUP_8_in;SUP_8_out;12;2000,000000
SUP_8_in;SUP_8_out;13;2000,000000
SUP_8_in;SUP_8_out;14;2000,000000
SUP_8_in;SUP_8_out;15;2000,000000
SUP_8_in;SUP_8_out;16;2000,000000
SUP_8_in;SUP_8_out;17;2000,000000
SUP_8_in;SUP_8_out;18;2000,000000
SUP_8_in;SUP_8_out;19;2000,000000
SUP_8_in;SUP_8_out;20;2000,000000
SUP_8_in;SUP_8_out;21;2000,000000
SUP_8_in;SUP_8_out;22;2000,000000
SUP_8_in;SUP_8_out;23;2000,000000
SUP_8_in;SUP_8_out;24;2000,000000
SUP_8_in;SUP_8_out;25;2000,000000
SUP_8_in;SUP_8_out;26;2000,000000
SUP_8_in;SUP_8_out;27;2000,000000
SUP_8_in;SUP_8_out;28;2000,000000
SUP_8_in;SUP_8_out;29;2000,000000
SUP_8_in;SUP_8_out;30;2000,000000
SUP_8_in;SUP_8_out;31;2000,000000
SUP_8_in;SUP_8_out;32;2000,000000
SUP_8_in;SUP_8_out;33;2000,000000
SUP_8_in;SUP_8_out;34;2000,000000
SUP_8_in;SUP_8_out;35;2000,000000
SUP_8_in;SUP_8_out;36;2000,000000
SUP_8_in;SUP_8_out;37;2000,000000
SUP_8_in;SUP_8_out;38;2000,000000
SUP_8_in;SUP_8_out;39;2000,000000
SUP_8_in;SUP_8_out;40;2000,000000
SUP_8_in;SUP_8_out;41;2000,000000
SUP_8_in;SUP_8_out;42;2000,000000
SUP_8_in;SUP_8_out;43;2000,000000
SUP_8_in;SUP_8_out;44;2000,000000
SUP_8_in;SUP_8_out;45;2000,000000
SUP_8_in;SUP_8_out;46;2000,000000
SUP_8_in;SUP_8_out;47;2000,000000
SUP_8_in;SUP_8_out;48;2000,000000
SUP_8_in;SUP_8_out;49;2000,000000
SUP_9_in;SUP_9_out;0;2000,000000
SUP_9_in;SUP_9_out;1;2000,000000
SUP_9_in;SUP_9_out;2;2000,000000
SUP_9_in;SUP_9_out;3;2000,000000
SUP_9_in;SUP_9_out;4;2000,000000
SUP_9_in;SUP_9_out;5;2000,000000
SUP_9_in;SUP_9_out;6;2000,000000
SUP_9_in;SUP_9_out;7;2000,000000
SUP_9_in;SUP_9_out;8;2000,000000
SUP_9_in;SUP_9_out;9;2000,000000
SUP_9_in;SUP_9_out;10;2000,000000
SUP_9_in;SUP_9_out;11;2000,000000
SUP_9_in;SUP_9_out;12;2000,000000
SUP_9_in;SUP_9_out;13;2000,000000
SUP_9_in;SUP_9_out;14;2000,000000
SUP_9_in;SUP_9_out;15;2000,000000
SUP_9_in;SUP_9_out;16;2000,000000
SUP_9_in;SUP_9_out;17;2000,000000
SUP_9_in;SUP_9_out;18;2000,000000
SUP_9_in;SUP_9_out;19;2000,000000
SUP_9_in;SUP_9_out;20;2000,000000
SUP_9_in;SUP_9_out;21;2000,000000
SUP_9_in;SUP_9_out;22;2000,000000
SUP_9_in;SUP_9_out;23;2000,000000
SUP_9_in;SUP_9_out;24;2000,000000
SUP_9_in;SUP_9_out;25;2000,000000
SUP_9_in;SUP_9_out;26;2000,000000
SUP_9_in;SUP_9_out;27;2000,000000
SUP_9_in;SUP_9_out;28;2000,000000
SUP_9_in;SUP_9_out;29;2000,000000
SUP_9_in;SUP_9_out;30;2000,000000
SUP_9_in;SUP_9_out;31;2000,000000
SUP_9_in;SUP_9_out;32;2000,000000
SUP_9_in;SUP_9_out;33;2000,000000
SUP_9_in;SUP_9_out;34;2000,000000
SUP_9_in;SUP_9_out;35;2000,000000
SUP_9_in;SUP_9_out;36;2000,000000
SUP_9_in;SUP_9_out;37;2000,000000
SUP_9_in;SUP_9_out;38;2000,000000
SUP_9_in;SUP_9_out;39;2000,000000
SUP_9_in;SUP_9_out;40;2000,000000
SUP_9_in;SUP_9_out;41;2000,000000
SUP_9_in;SUP_9_out;42;2000,000000
SUP_9_in;SUP_9_out;43;2000,000000
SUP_9_in;SUP_9_out;44;2000,000000
SUP_9_in;SUP_9_out;45;2000,000000
SUP_9_in;SUP_9_out;46;2000,000000
